Human Signaling Network,16-Jan-14,,,
23385,NCSTN,10782,ZNF274,Neg
1433,CSE,4780,NFE2L2,Pos
5527,PPP2R5C,572,BAD,Pos
3192,HNRNPU,2965,GTF2H1,Neg
3680,ITGA9,3695,ITGB7,Phy
6181,RPLP2,6235,RPS29,Phy
5714,PSMD8,9320,TRIP12,Phy
6628,SNRPB,6637,SNRPG,Phy
6176,RPLP1,6208,RPS14,Phy
3932,LCK,259230,SGMS1,Pos
2258,FGF13,2260,FGFR1,Phy
7157,TP53,7319,UBE2A,Phy
7066,THPO,2357,FPR1,Pos
79654,HECTD3,9820,CUL7,Phy
1677,DFFB,3146,HMGB1,Pos
5155,PDGFB,3791,KDR,Pos
7040,TGFB1,1581,CYP7A1,Neg
3570,IL6R,9846,GAB2,Pos
4638,MYLK,3680,ITGA9,Pos
650,BMP2,4205,MEF2A,Pos
1948,EFNB2,6464,SHC1,Phy
267,AMFR,6647,SOD1,Neg
2178,FANCE,3280,HES1,Phy
79902,NUP85,9939,RBM8A,Pos
3932,LCK,83696,TRAPPC9,Pos
1456,CSNK1G3,5187,PER1,Neg
6222,RPS18,6224,RPS20,Phy
8844,KSR1,10971,YWHAQ,Pos
2902,GRIN1,6262,RYR2,Phy
5719,PSMD13,5693,PSMB5,Phy
3655,ITGA6,55742,PARVA,Phy
4478,MSN,5747,PTK2,Phy
2444,FRK,867,CBL,Pos
5295,PIK3R1,896,CCND3,Pos
5617,PRL,4790,NFKB1,Pos
5624,PROC,2157,F8,Neg
796,CALCA,43,ACHE,Pos
51529,ANAPC11,64682,ANAPC1,Pos
9263,STK17A,81887,LAS1L,Pos
2908,NR3C1,30009,TBX21,Neg
2773,GNAI3,4893,NRAS,Pos
1616,DAXX,5608,MAP2K6,Pos
6777,STAT5B,891,CCNB1,Pos
9149,DYRK1B,5594,MAPK1,Pos
5696,PSMB8,246184,CDC26,Pos
57761,TRIB3,4760,NEUROD1,Pos
8607,RUVBL1,7015,TERT,Pos
5437,POLR2H,2968,GTF2H4,Phy
2068,ERCC2,100290337,LOC100290337,Pos
10398,MYL9,22954,TRIM32,Phy
27122,DKK3,118425,GDEP,Pos
6170,RPL39,6235,RPS29,Phy
54961,SSH3,1072,CFL1,Neg
3985,LIMK2,1398,CRK,Pos
5566,PRKACA,81608,FIP1L1,Pos
8470,SORBS2,867,CBL,Phy
1268,CNR1,779,CACNA1S,Pos
1949,EFNB3,2885,GRB2,Phy
6794,STK11,5564,PRKAB1,Pos
100291837,LOC100291837,6207,RPS13,Phy
3815,KIT,8777,MPDZ,Phy
2932,GSK3B,4137,MAPT,Neg
5928,RBBP4,2735,GLI1,Neg
1949,EFNB3,6237,RRAS,Neg
2237,FEN1,5478,PPIA,Pos
140801,RPL10L,6122,RPL3,Phy
1906,EDN1,2774,GNAL,Phy
388372,CCL4L2,1232,CCR3,Pos
102,ADAM10,4851,NOTCH1,Pos
11338,U2AF2,6625,SNRNP70,Pos
7525,YES1,2934,GSN,Pos
3553,IL1B,6401,SELE,Pos
6872,TAF1,4193,MDM2,Pos
5536,PPP5C,472,ATM,Neg
3574,IL7,3561,IL2RG,Pos
6364,CCL20,3577,CXCR1,Pos
6237,RRAS,8503,PIK3R3,Pos
6452,SH3BP2,920,CD4,Phy
4957,ODF2,11064,CEP110,Phy
5293,PIK3CD,7294,TXK,Pos
8600,TNFSF11,8792,TNFRSF11A,Pos
87,ACTN1,7094,TLN1,Phy
3725,JUN,3725,JUN,Pos
3556,IL1RAP,5295,PIK3R1,Phy
7143,TNR,3674,ITGA2B,Pos
3630,INS,6654,SOS1,Pos
8651,SOCS1,7124,TNF,Neg
3708,ITPR1,810,CALML3,Phy
8536,CAMK1,2597,GAPDH,Pos
1968,EIF2S3,6193,RPS5,Phy
5501,PPP1CC,1072,CFL1,Pos
5595,MAPK3,27330,RPS6KA6,Pos
5257,PHKB,5836,PYGL,Pos
7481,WNT11,7976,FZD3,Phy
7936,RDBP,5433,POLR2D,Phy
2274,FHL2,3680,ITGA9,Phy
2768,GNA12,8698,S1PR4,Phy
51371,POMP,5692,PSMB4,Phy
1029,CDKN2A,9338,TCEAL1,Pos
5686,PSMA5,64682,ANAPC1,Pos
6128,RPL6,6235,RPS29,Phy
116832,RPL39L,6147,RPL23A,Phy
23624,CBLC,9180,OSMR,Neg
1278,COL1A2,51206,GP6,Pos
3552,IL1A,5293,PIK3CD,Pos
4609,MYC,898,CCNE1,Pos
3718,JAK3,5290,PIK3CA,Phy
6156,RPL30,6223,RPS19,Phy
51384,WNT16,8321,FZD1,Pos
1440,CSF3,9846,GAB2,Pos
3040,HBA2,6189,RPS3A,Phy
331,XIAP,56616,DIABLO,Phy
2318,FLNC,6416,MAP2K4,Phy
92140,MTDH,4790,NFKB1,Pos
8398,PLA2G6,9373,PLAA,Pos
80227,PAAF1,1163,CKS1B,Pos
2353,FOS,6774,STAT3,Phy
4878,NPPA,3359,HTR3A,Neg
51588,PIAS4,8651,SOCS1,Neg
3455,IFNAR2,7015,TERT,Neg
5604,MAP2K1,2353,FOS,Pos
3590,IL11RA,3718,JAK3,Pos
57447,NDRG2,214,ALCAM,Pos
5058,PAK1,5558,PRIM2,Pos
1994,ELAVL1,1977,EIF4E,Pos
10856,RUVBL2,4691,NCL,Pos
5058,PAK1,56270,WDR45B,Pos
140801,RPL10L,6189,RPS3A,Phy
1453,CSNK1D,4957,ODF2,Phy
29760,BLNK,4690,NCK1,Phy
8204,NRIP1,2168,FABP1,Pos
5972,REN,10159,ATP6AP2,Pos
1119,CHKA,22881,ANKRD6,Phy
7124,TNF,9429,ABCG2,Pos
6521,SLC4A1,2993,GYPA,Pos
841,CASP8,8717,TRADD,Phy
4088,SMAD3,6662,SOX9,Pos
2792,GNGT1,9368,SLC9A3R1,Phy
10152,ABI2,10096,ACTR3,Pos
1499,CTNNB1,4762,NEUROG1,Pos
2353,FOS,54578,UGT1A6,Pos
1387,CREBBP,6929,TCF3,Phy
6169,RPL38,9513,FXR2,Phy
816,CAMK2B,3925,STMN1,Pos
7534,YWHAZ,6117,RPA1,Neg
6194,RPS6,9045,RPL14,Phy
9112,MTA1,54828,BCAS3,Pos
6778,STAT6,894,CCND2,Pos
7443,VRK1,9760,TOX,Pos
3932,LCK,5581,PRKCE,Pos
84254,CAMKK1,816,CAMK2B,Pos
10672,GNA13,999,CDH1,Pos
5707,PSMD1,5887,RAD23B,Phy
4171,MCM2,4172,MCM3,Phy
2920,CXCL2,3579,CXCR2,Pos
91,ACVR1B,93,ACVR2B,Phy
8444,DYRK3,8048,CSRP3,Pos
5154,PDGFA,4982,TNFRSF11B,Pos
5909,RAP1GAP,54386,TERF2IP,Neg
51701,NLK,51701,NLK,Pos
3930,LBR,2208,FCER2,Pos
10498,CARM1,354,KLK3,Pos
53944,CSNK1G1,57524,CASKIN1,Phy
26281,FGF20,2260,FGFR1,Pos
6257,RXRB,1962,EHHADH,Pos
4602,MYB,6964,TRD@,Pos
7528,YY1,990,CDC6,Pos
5694,PSMB6,51529,ANAPC11,Pos
6387,CXCL12,3932,LCK,Pos
1848,DUSP6,6300,MAPK12,Neg
3065,HDAC1,333929,SNAI3,Neg
1906,EDN1,3550,IK,Pos
51231,VRK3,167826,OLIG3,Pos
3364,HUS1,545,ATR,Pos
2206,MS4A2,2885,GRB2,Pos
2885,GRB2,2475,MTOR,Pos
5688,PSMA7,1017,CDK2,Pos
2205,FCER1A,4773,NFATC2,Pos
2885,GRB2,8038,ADAM12,Phy
6885,MAP3K7,5906,RAP1A,Pos
4040,LRP6,1387,CREBBP,Pos
6272,SORT1,839,CASP6,Pos
5583,PRKCH,2017,CTTN,Pos
4781,NFIB,11178,LZTS1,Pos
1855,DVL1,8976,WASL,Phy
7422,VEGFA,8877,SPHK1,Pos
91442,C19orf40,2177,FANCD2,Pos
2869,GRK5,6869,TACR1,Pos
5719,PSMD13,7321,UBE2D1,Pos
6194,RPS6,6218,RPS17,Phy
27006,FGF22,5335,PLCG1,Pos
1020,CDK5,1407,CRY1,Pos
7297,TYK2,6773,STAT2,Pos
2264,FGFR4,660,BMX,Pos
998,CDC42,4214,MAP3K1,Pos
5600,MAPK11,6667,SP1,Pos
4193,MDM2,2263,FGFR2,Neg
652799,LOC652799,6777,STAT5B,Pos
5706,PSMC6,5711,PSMD5,Phy
2965,GTF2H1,5437,POLR2H,Pos
11156,PTP4A3,5879,RAC1,Neg
148022,TICAM1,3661,IRF3,Pos
1514,CTSL1,1471,CST3,Pos
5588,PRKCQ,9564,BCAR1,Pos
5340,PLG,3273,HRG,Phy
5347,PLK1,675,BRCA2,Neg
65123,INTS3,9611,NCOR1,Phy
246778,IL27,6773,STAT2,Pos
2002,ELK1,595,CCND1,Pos
11128,POLR3A,661,POLR3D,Phy
2966,GTF2H2,5431,POLR2B,Phy
4297,MLL,2958,GTF2A2,Pos
3565,IL4,6464,SHC1,Pos
9261,MAPKAPK2,10092,ARPC5,Pos
8772,FADD,8717,TRADD,Phy
3717,JAK2,5335,PLCG1,Pos
6156,RPL30,6181,RPLP2,Phy
79654,HECTD3,64682,ANAPC1,Phy
3371,TNC,3693,ITGB5,Pos
904,CCNT1,5441,POLR2L,Pos
5241,PGR,5568,PRKACG,Phy
1179,CLCA1,4584,MUC3A,Pos
10806,SDCCAG8,10142,AKAP9,Phy
3169,FOXA1,338,APOB,Pos
28511,NKIRAS2,4793,NFKBIB,Phy
3458,IFNG,1571,CYP2E1,Neg
5777,PTPN6,5295,PIK3R1,Phy
7040,TGFB1,5728,PTEN,Pos
5690,PSMB2,5693,PSMB5,Phy
11337,GABARAP,10533,ATG7,Pos
256933,NPB,2831,NPBWR1,Pos
6175,RPLP0,6204,RPS10,Phy
2280,FKBP1A,2475,MTOR,Neg
3661,IRF3,958,CD40,Pos
5590,PRKCZ,4773,NFATC2,Pos
3448,IFNA14,3458,IFNG,Pos
10319,LAMC3,7533,YWHAH,Phy
245711,SPDYA,983,CDK1,Pos
1869,E2F1,2935,GSPT1,Pos
54464,XRN1,57819,LSM2,Pos
5430,POLR2A,9150,CTDP1,Pos
9891,NUAK1,5519,PPP2R1B,Pos
6169,RPL38,6191,RPS4X,Phy
80227,PAAF1,5716,PSMD10,Phy
51497,TH1L,5434,POLR2E,Phy
3458,IFNG,6772,STAT1,Pos
5587,PRKD1,5777,PTPN6,Pos
3516,RBPJ,6502,SKP2,Pos
1947,EFNB1,2049,EPHB3,Phy
5290,PIK3CA,896,CCND3,Pos
5702,PSMC3,51433,ANAPC5,Pos
2776,GNAQ,54331,GNG2,Phy
921,CD5,974,CD79B,Phy
4008,LMO7,87,ACTN1,Phy
5610,EIF2AK2,5580,PRKCD,Pos
8932,MBD2,9734,HDAC9,Phy
2691,GHRH,6750,SST,Neg
1019,CDK4,602,BCL3,Pos
1435,CSF1,7422,VEGFA,Pos
6207,RPS13,6210,RPS15A,Phy
23162,MAPK8IP3,5609,MAP2K7,Phy
2549,GAB1,3265,HRAS,Pos
1457,CSNK2A1,55616,ASAP3,Pos
573,BAG1,3963,LGALS7,Neg
1398,CRK,5829,PXN,Pos
6714,SRC,2247,FGF2,Neg
3364,HUS1,6118,RPA2,Phy
51764,GNG13,57580,PREX1,Pos
10657,KHDRBS1,1387,CREBBP,Neg
6204,RPS10,7314,UBB,Phy
11097,NUPL2,3836,KPNA1,Pos
6256,RXRA,8309,ACOX2,Pos
7040,TGFB1,2626,GATA4,Pos
2056,EPO,3624,INHBA,Pos
1500,CTNND1,3082,HGF,Neg
10783,NEK6,55669,MFN1,Pos
1026,CDKN1A,7027,TFDP1,Neg
2782,GNB1,5296,PIK3R2,Pos
4615,MYD88,7124,TNF,Pos
80254,CEP63,5116,PCNT,Phy
5156,PDGFRA,3845,KRAS,Pos
9738,CP110,9814,SFI1,Phy
894,CCND2,1871,E2F3,Neg
6794,STK11,53632,PRKAG3,Pos
10087,COL4A3BP,10087,COL4A3BP,Pos
3551,IKBKB,7185,TRAF1,Phy
5688,PSMA7,197131,UBR1,Phy
4908,NTF3,4155,MBP,Pos
3592,IL12A,7297,TYK2,Phy
3908,LAMA2,5879,RAC1,Pos
2205,FCER1A,3497,IGHE,Phy
3827,KNG1,1511,CTSG,Neg
6688,SPI1,4069,LYZ,Pos
868,CBLB,1436,CSF1R,Neg
2065,ERBB3,2065,ERBB3,Phy
8899,PRPF4B,745,MYRF,Pos
1398,CRK,10818,FRS2,Phy
3909,LAMA3,1605,DAG1,Pos
5696,PSMB8,5717,PSMD11,Phy
280979,ACTIN,7430,EZR,Phy
9320,TRIP12,9690,UBE3C,Phy
11224,RPL35,6156,RPL30,Phy
23310,NCAPD3,9918,NCAPD2,Phy
2152,F3,302,ANXA2,Pos
6555,SLC10A2,5887,RAD23B,Phy
150290,DUSP18,3688,ITGB1,Pos
3308,HSPA4,3320,HSP90AA1,Phy
1291,COL6A1,22801,ITGA11,Pos
3559,IL2RA,7293,TNFRSF4,Pos
207,AKT1,55743,CHFR,Pos
408,ARRB1,5290,PIK3CA,Pos
122706,PSMB11,5690,PSMB2,Phy
55722,CEP72,80321,CEP70,Phy
5879,RAC1,4313,MMP2,Pos
2868,GRK4,2792,GNGT1,Pos
11014,KDELR2,1212,CLTB,Phy
8924,HERC2,8881,CDC16,Phy
5336,PLCG2,5582,PRKCG,Pos
3442,IFNA5,5721,PSME2,Pos
9020,MAP3K14,5971,RELB,Neg
3458,IFNG,5294,PIK3CG,Pos
2033,EP300,4790,NFKB1,Phy
1410,CRYAB,836,CASP3,Pos
6154,RPL26,6181,RPLP2,Phy
163688,CALML6,5535,PPP3R2,Pos
2318,FLNC,3688,ITGB1,Phy
3039,HBA1,3040,HBA2,Phy
10284,SAP18,4087,SMAD2,Neg
1026,CDKN1A,6774,STAT3,Neg
23140,ZZEF1,701,BUB1B,Phy
2264,FGFR4,5290,PIK3CA,Pos
640,BLK,2213,FCGR2B,Pos
6654,SOS1,5605,MAP2K2,Pos
6601,SMARCC2,2957,GTF2A1,Pos
2263,FGFR2,6457,SH3GL3,Phy
6129,RPL7,6159,RPL29,Phy
93,ACVR2B,1956,EGFR,Pos
1399,CRKL,1794,DOCK2,Pos
7161,TP73,64782,AEN,Pos
6130,RPL7A,6171,RPL41,Phy
1756,DMD,998,CDC42,Pos
50509,COL5A3,3693,ITGB5,Pos
3655,ITGA6,7070,THY1,Phy
5714,PSMD8,8945,BTRC,Pos
55250,ELP2,6774,STAT3,Neg
6597,SMARCA4,1869,E2F1,Neg
2263,FGFR2,26281,FGF20,Phy
133,ADM,117194,MRGPRX2,Pos
2064,ERBB2,2064,ERBB2,Pos
5721,PSME2,80227,PAAF1,Phy
5702,PSMC3,6622,SNCA,Neg
6627,SNRPA1,6629,SNRPB2,Phy
25,ABL1,1398,CRK,Pos
27134,TJP3,4950,OCLN,Phy
5347,PLK1,11065,UBE2C,Pos
8841,HDAC3,8338,HIST2H2AC,Pos
1290,COL5A2,3694,ITGB6,Pos
140801,RPL10L,6129,RPL7,Phy
7979,SHFM1,6555,SLC10A2,Phy
6521,SLC4A1,5781,PTPN11,Phy
3717,JAK2,3932,LCK,Pos
5931,RBBP7,4087,SMAD2,Neg
11190,CEP250,9738,CP110,Phy
6637,SNRPG,6632,SNRPD1,Phy
50937,CDON,6469,SHH,Phy
3718,JAK3,6777,STAT5B,Pos
1026,CDKN1A,208,AKT2,Phy
23092,ARHGAP26,5747,PTK2,Phy
23077,MYCBP2,79654,HECTD3,Phy
6191,RPS4X,6229,RPS24,Phy
5336,PLCG2,815,CAMK2A,Phy
5603,MAPK13,6772,STAT1,Pos
2885,GRB2,3872,KRT17,Phy
207,AKT1,10848,PPP1R13L,Pos
408,ARRB1,8321,FZD1,Pos
10125,RASGRP1,27091,CACNG5,Phy
1457,CSNK2A1,1457,CSNK2A1,Pos
2033,EP300,4583,MUC2,Pos
4209,MEF2D,4205,MEF2A,Pos
5581,PRKCE,5777,PTPN6,Pos
5887,RAD23B,6555,SLC10A2,Phy
1487,CTBP1,6929,TCF3,Phy
916,CD3E,3702,ITK,Pos
7414,VCL,5829,PXN,Phy
7316,UBC,8661,EIF3A,Phy
5468,PPARG,79966,SCD5,Pos
29895,MYLPF,8735,MYH13,Phy
3611,ILK,5294,PIK3CG,Phy
79084,WDR77,367,AR,Pos
6422,SFRP1,2535,FZD2,Neg
5431,POLR2B,2232,FDXR,Pos
8445,DYRK2,28984,C13orf15,Pos
1964,EIF1AX,8894,EIF2S2,Pos
919,CD247,5577,PRKAR2B,Pos
1392,CRH,51083,GAL,Pos
9181,ARHGEF2,5879,RAC1,Pos
8626,TP63,3280,HES1,Neg
3560,IL2RB,8027,STAM,Phy
905,CCNT2,5435,POLR2F,Pos
63967,CLSPN,22897,CEP164,Phy
5686,PSMA5,5700,PSMC1,Phy
27124,INPP5J,6502,SKP2,Pos
3055,HCK,5296,PIK3R2,Pos
5580,PRKCD,823,CAPN1,Pos
10344,CCL26,1524,CX3CR1,Pos
5720,PSME1,51433,ANAPC5,Pos
8480,RAE1,29894,CPSF1,Pos
4615,MYD88,3654,IRAK1,Pos
2668,GDNF,220164,DOK6,Phy
51429,SNX9,8976,WASL,Pos
5688,PSMA7,5694,PSMB6,Phy
3416,IDE,51434,ANAPC7,Pos
348995,NUP43,25929,GEMIN5,Pos
6827,SUPT4H1,5436,POLR2G,Phy
3552,IL1A,3656,IRAK2,Phy
29882,ANAPC2,7324,UBE2E1,Pos
8317,CDC7,1017,CDK2,Pos
8517,IKBKG,4794,NFKBIE,Pos
2247,FGF2,3480,IGF1R,Pos
7471,WNT1,7976,FZD3,Pos
29123,ANKRD11,7157,TP53,Pos
3913,LAMB2,7532,YWHAG,Phy
695,BTK,7535,ZAP70,Phy
5594,MAPK1,84687,PPP1R9B,Pos
1956,EGFR,2168,FABP1,Pos
1437,CSF2,2321,FLT1,Pos
5347,PLK1,9793,CKAP5,Phy
302,ANXA2,5340,PLG,Pos
10383,TUBB2C,11190,CEP250,Phy
5704,PSMC4,9861,PSMD6,Phy
4928,NUP98,29894,CPSF1,Pos
5931,RBBP7,2737,GLI3,Neg
3458,IFNG,972,CD74,Pos
3565,IL4,3595,IL12RB2,Neg
5500,PPP1CB,51806,CALML5,Neg
5610,EIF2AK2,7189,TRAF6,Pos
2321,FLT1,5295,PIK3R1,Phy
3385,ICAM3,1437,CSF2,Neg
7709,ZBTB17,3054,HCFC1,Neg
6373,CXCL11,10803,CCR9,Pos
7535,ZAP70,5566,PRKACA,Pos
5743,PTGS2,285,ANGPT2,Pos
2791,GNG11,23236,PLCB1,Pos
4854,NOTCH3,11317,RBPJL,Pos
140890,SFRS12,6428,SFRS3,Pos
2885,GRB2,58480,RHOU,Pos
5045,FURIN,255738,PCSK9,Neg
89780,WNT3A,55361,PI4K2A,Pos
1454,CSNK1E,324,APC,Pos
378884,NHLRC1,7957,EPM2A,Neg
983,CDK1,983,CDK1,Phy
3600,IL15,3916,LAMP1,Pos
9064,MAP3K6,3551,IKBKB,Pos
2911,GRM1,2769,GNA15,Pos
405,ARNT,5054,SERPINE1,Pos
4957,ODF2,5116,PCNT,Phy
23636,NUP62,4193,MDM2,Pos
1286,COL4A4,3675,ITGA3,Pos
598,BCL2L1,1329,COX5B,Neg
3357,HTR2B,2767,GNA11,Pos
551,AVP,1392,CRH,Pos
3692,EIF6,6203,RPS9,Pos
7200,TRH,4922,NTS,Pos
55615,PRR5,2475,MTOR,Phy
1965,EIF2S1,3040,HBA2,Phy
2959,GTF2B,6877,TAF5,Phy
6117,RPA1,6119,RPA3,Phy
10891,PPARGC1A,2101,ESRRA,Pos
9063,PIAS2,9846,GAB2,Phy
1869,E2F1,7015,TERT,Neg
7124,TNF,10930,APOBEC2,Pos
3320,HSP90AA1,4214,MAP3K1,Phy
54361,WNT4,8323,FZD6,Phy
3558,IL2,3567,IL5,Pos
3565,IL4,1571,CYP2E1,Pos
6230,RPS25,7316,UBC,Phy
2249,FGF4,2885,GRB2,Phy
367,AR,7329,UBE2I,Pos
7483,WNT9A,2535,FZD2,Pos
6490,SILV,3383,ICAM1,Pos
6198,RPS6KB1,4318,MMP9,Pos
122706,PSMB11,991,CDC20,Pos
51561,IL23A,7124,TNF,Pos
1943,EFNA2,2045,EPHA7,Phy
928,CD9,93185,IGSF8,Pos
3162,HMOX1,5949,RBP3,Pos
1289,COL5A1,3672,ITGA1,Pos
6777,STAT5B,122809,SOCS4,Pos
3135,HLA-G,3806,KIR2DS1,Pos
3791,KDR,5781,PTPN11,Pos
6124,RPL4,6134,RPL10,Phy
9370,ADIPOQ,79602,ADIPOR2,Pos
57521,RPTOR,8662,EIF3B,Pos
9846,GAB2,8503,PIK3R3,Pos
5887,RAD23B,5711,PSMD5,Phy
6346,CCL1,1236,CCR7,Pos
26018,LRIG1,2066,ERBB4,Pos
1268,CNR1,10368,CACNG3,Pos
5027,P2RX7,1385,CREB1,Pos
8476,CDC42BPA,4607,MYBPC3,Pos
8817,FGF18,2261,FGFR3,Pos
6010,RHO,6101,RP1,Pos
6850,SYK,5600,MAPK11,Pos
6555,SLC10A2,2172,FABP6,Pos
55845,C3orf10,55845,C3orf10,Phy
149461,CLDN19,9080,CLDN9,Phy
5530,PPP3CA,83737,ITCH,Pos
57154,SMURF1,7048,TGFBR2,Phy
2246,FGF1,3725,JUN,Pos
5426,POLE,5426,POLE,Pos
6654,SOS1,92170,MTG1,Pos
780,DDR1,6663,SOX10,Pos
6346,CCL1,3577,CXCR1,Pos
4609,MYC,84864,MINA,Pos
3315,HSPB1,356,FASLG,Neg
5996,RGS1,917,CD3G,Neg
137075,CLDN23,149461,CLDN19,Phy
867,CBL,2885,GRB2,Pos
1289,COL5A1,3675,ITGA3,Pos
5693,PSMB5,80227,PAAF1,Phy
6387,CXCL12,5575,PRKAR1B,Phy
4851,NOTCH1,5664,PSEN2,Phy
5581,PRKCE,4233,MET,Neg
1964,EIF1AX,6209,RPS15,Pos
51684,SUFU,8819,SAP30,Phy
8913,CACNA1G,777,CACNA1E,Phy
3569,IL6,7097,TLR2,Pos
6622,SNCA,5718,PSMD12,Neg
408,ARRB1,408,ARRB1,Pos
2253,FGF8,5295,PIK3R1,Pos
5595,MAPK3,100137049,PLA2G4B,Pos
8445,DYRK2,27254,CSDC2,Pos
6170,RPL39,6206,RPS12,Phy
1401,CRP,3684,ITGAM,Pos
7050,TGIF1,4087,SMAD2,Neg
5692,PSMB4,51434,ANAPC7,Pos
10134,BCAP31,598,BCL2L1,Pos
8817,FGF18,3480,IGF1R,Pos
8651,SOCS1,3932,LCK,Neg
157,ADRBK2,10663,CXCR6,Pos
1857,DVL3,55361,PI4K2A,Pos
6144,RPL21,6152,RPL24,Phy
51107,APH1A,4851,NOTCH1,Pos
71,ACTG1,7408,VASP,Phy
3915,LAMC1,22987,SV2C,Pos
284312,ZSCAN1,7593,MZF1,Neg
5439,POLR2J,65123,INTS3,Phy
5327,PLAT,5340,PLG,Pos
3911,LAMA5,3674,ITGA2B,Pos
1950,EGF,3909,LAMA3,Pos
51099,ABHD5,57104,PNPLA2,Pos
3674,ITGA2B,3695,ITGB7,Phy
3691,ITGB4,5829,PXN,Phy
9021,SOCS3,53833,IL20RB,Neg
5581,PRKCE,23523,CABIN1,Pos
27035,NOX1,4689,NCF4,Phy
6885,MAP3K7,8915,BCL10,Phy
1906,EDN1,2185,PTK2B,Pos
382,ARF6,1213,CLTC,Pos
2792,GNGT1,5029,P2RY2,Phy
3611,ILK,2353,FOS,Pos
2185,PTK2B,116985,ARAP1,Pos
4089,SMAD4,1499,CTNNB1,Phy
5580,PRKCD,65108,MARCKSL1,Neg
54331,GNG2,5296,PIK3R2,Pos
7124,TNF,8081,AD5,Pos
10911,UTS2,1956,EGFR,Pos
3039,HBA1,6208,RPS14,Phy
5580,PRKCD,6772,STAT1,Pos
5431,POLR2B,5441,POLR2L,Phy
1385,CREB1,595,CCND1,Pos
3932,LCK,7421,VDR,Pos
5887,RAD23B,5694,PSMB6,Phy
2965,GTF2H1,6117,RPA1,Pos
3932,LCK,55503,TRPV6,Pos
6608,SMO,8643,PTCH2,Phy
8826,IQGAP1,60,ACTB,Pos
5449,POU1F1,5972,REN,Pos
80227,PAAF1,5698,PSMB9,Phy
5163,PDK1,207,AKT1,Pos
4283,CXCL9,1234,CCR5,Pos
4659,PPP1R12A,4634,MYL3,Pos
3675,ITGA3,811,CALR,Phy
4090,SMAD5,1386,ATF2,Pos
6908,TBP,6874,TAF4,Phy
10672,GNA13,23365,ARHGEF12,Pos
8086,AAAS,2646,GCKR,Pos
80174,DBF4B,8317,CDC7,Pos
472,ATM,57551,TAOK1,Pos
95681,TSGA14,203068,TUBB,Phy
6642,SNX1,8520,HAT1,Phy
3394,IRF8,5783,PTPN13,Neg
6714,SRC,23162,MAPK8IP3,Pos
1302,COL11A2,3678,ITGA5,Pos
4790,NFKB1,2277,FIGF,Pos
1020,CDK5,4089,SMAD4,Pos
1437,CSF2,5294,PIK3CG,Pos
5223,PGAM1,5058,PAK1,Neg
3565,IL4,3458,IFNG,Neg
5518,PPP2R1A,5577,PRKAR2B,Phy
11338,U2AF2,6629,SNRPB2,Pos
5578,PRKCA,30819,KCNIP2,Pos
7124,TNF,10015,PDCD6IP,Pos
10298,PAK4,867,CBL,Pos
2033,EP300,1869,E2F1,Pos
4049,LTA,7133,TNFRSF1B,Pos
5603,MAPK13,2005,ELK4,Pos
11143,MYST2,4087,SMAD2,Pos
3605,IL17A,3569,IL6,Pos
2535,FZD2,7337,UBE3A,Phy
5884,RAD17,5983,RFC3,Phy
7314,UBB,6208,RPS14,Phy
4478,MSN,5578,PRKCA,Phy
1956,EGFR,5339,PLEC,Phy
6792,CDKL5,9775,EIF4A3,Pos
3398,ID2,3399,ID3,Phy
868,CBLB,2066,ERBB4,Neg
7484,WNT9B,8322,FZD4,Pos
2737,GLI3,7482,WNT2B,Pos
1385,CREB1,8660,IRS2,Pos
1968,EIF2S3,8661,EIF3A,Phy
7297,TYK2,3569,IL6,Pos
51371,POMP,991,CDC20,Pos
30011,SH3KBP1,4435,CITED1,Phy
4622,MYH4,4624,MYH6,Phy
81030,ZBP1,29110,TBK1,Pos
7124,TNF,8870,IER3,Pos
10419,PRMT5,6606,SMN1,Pos
53944,CSNK1G1,4772,NFATC1,Neg
5610,EIF2AK2,83939,EIF2A,Neg
5717,PSMD11,5714,PSMD8,Phy
6210,RPS15A,6228,RPS23,Phy
5566,PRKACA,7840,ALMS1,Phy
2932,GSK3B,1385,CREB1,Neg
5577,PRKAR2B,23566,LPAR3,Pos
2779,GNAT1,5145,PDE6A,Pos
3586,IL10,5743,PTGS2,Neg
1387,CREBBP,10499,NCOA2,Pos
80254,CEP63,1069,CETN2,Phy
11059,WWP1,2321,FLT1,Neg
6156,RPL30,6164,RPL34,Phy
4904,YBX1,7040,TGFB1,Neg
3725,JUN,3105,HLA-A,Neg
5707,PSMD1,51035,UBXN1,Phy
6778,STAT6,246,ALOX15,Pos
29979,UBQLN1,5716,PSMD10,Phy
10319,LAMC3,22798,LAMB4,Phy
56616,DIABLO,7186,TRAF2,Phy
3479,IGF1,5290,PIK3CA,Pos
10013,HDAC6,9734,HDAC9,Phy
5595,MAPK3,6197,RPS6KA3,Pos
5705,PSMC5,5708,PSMD2,Phy
5431,POLR2B,4088,SMAD3,Neg
208,AKT2,2475,MTOR,Pos
80781,COL18A1,2817,GPC1,Pos
55755,CDK5RAP2,5518,PPP2R1A,Phy
960,CD44,4843,NOS2,Pos
10109,ARPC2,71,ACTG1,Phy
1196,CLK2,4194,MDM4,Pos
5781,PTPN11,4254,KITLG,Neg
79833,GEMIN6,6606,SMN1,Phy
10193,RNF41,2066,ERBB4,Neg
1282,COL4A1,8516,ITGA8,Pos
673,BRAF,11184,MAP4K1,Pos
