Human Signaling Network,16-Jan-14,,,
5777,PTPN6,3454,IFNAR1,Neg
10382,TUBB4,23236,PLCB1,Pos
10451,VAV3,5335,PLCG1,Phy
1366,CLDN7,26285,CLDN17,Phy
5563,PRKAA2,2475,MTOR,Neg
3952,LEP,5565,PRKAB2,Pos
9655,SOCS5,3563,IL3RA,Neg
801,CALM1,814,CAMK4,Phy
27040,LAT,11184,MAP4K1,Phy
11211,FZD10,4041,LRP5,Phy
2066,ERBB4,6455,SH3GL1,Phy
3663,IRF5,6348,CCL3,Pos
23165,NUP205,3837,KPNB1,Pos
9709,HERPUD1,4318,MMP9,Pos
2314,FLII,5310,PKD1,Neg
10006,ABI1,10093,ARPC4,Pos
673,BRAF,2810,SFN,Pos
3717,JAK2,3597,IL13RA1,Phy
56924,PAK6,9459,ARHGEF6,Pos
50846,DHH,8643,PTCH2,Phy
10454,MAP3K7IP1,8717,TRADD,Phy
2353,FOS,2939,GSTA2,Pos
9846,GAB2,6777,STAT5B,Pos
5925,RB1,4601,MXI1,Neg
5584,PRKCI,84612,PARD6B,Phy
85366,MYLK2,5599,MAPK8,Pos
2792,GNGT1,5291,PIK3CB,Pos
355,FAS,5608,MAP2K6,Pos
2253,FGF8,2261,FGFR3,Phy
6714,SRC,5293,PIK3CD,Pos
95681,TSGA14,8481,OFD1,Phy
1906,EDN1,5331,PLCB3,Phy
2002,ELK1,2005,ELK4,Phy
9214,FAIM3,11124,FAF1,Neg
2049,EPHB3,2049,EPHB3,Pos
3303,HSPA1A,7124,TNF,Pos
5881,RAC3,57144,PAK7,Pos
4040,LRP6,1499,CTNNB1,Neg
580,BARD1,5932,RBBP8,Phy
3694,ITGB6,5515,PPP2CA,Phy
6369,CCL24,1237,CCR8,Pos
10681,GNB5,2769,GNA15,Phy
7709,ZBTB17,6352,CCL5,Neg
3910,LAMA4,3696,ITGB8,Pos
5465,PPARA,1622,DBI,Pos
2157,F8,2159,F10,Pos
64224,HERPUD2,22915,MMRN1,Pos
4168,MCF2,5879,RAC1,Pos
5829,PXN,823,CAPN1,Phy
23624,CBLC,2534,FYN,Neg
7307,U2AF1,6635,SNRPE,Pos
3565,IL4,290,ANPEP,Pos
54583,EGLN1,2034,EPAS1,Pos
10683,DLL3,4851,NOTCH1,Pos
3551,IKBKB,8660,IRS2,Neg
23291,FBXW11,3791,KDR,Neg
10401,PIAS3,2033,EP300,Phy
6427,SFRS2,6638,SNRPN,Pos
10657,KHDRBS1,867,CBL,Phy
